,chromosome,start,end
DPP7,9,137110542,137118309
DPPA3P10,9,100120435,100120900
DUX4L50,9,63817748,63818462
DYNC2I2,9,128633653,128656847
EBLN3P,9,37034202,37090928
ECPAS,9,111360685,111484745
EDF1,9,136862119,136866308
EEF1A1P5,9,133019486,133020874
EEF1DP2,9,92836826,92837668
EEIG1,9,127940582,127980989
EGFL7,9,136658856,136672678
EHMT1,9,137618992,137870016
EIF1P1,9,659986,660326
EIF4A1P3,9,131782570,131782813
EIF4BP3,9,96146007,96147856
ELAVL2,9,23690104,23826337
ELF2P3,9,87816465,87817970
ELP1,9,108866898,108934328
EMICERI,9,27529085,27543902
ENDOG,9,128818500,128822676
ENG,9,127811130,127854773
ENHO,9,34521043,34522990
ENTPD2,9,137048107,137054061
ENTPD8,9,137434364,137441816
ENTR1,9,136401922,136410614
ENTREP1,9,69324567,69392558
EPB41L4B,9,109171974,109321059
EQTN,9,27284654,27297150
ERCC6L2,9,95871264,96121154
ERCC6L2-AS1,9,95759231,95876241
ERMP1,9,5749832,5879537
ERP44,9,99979185,100099052
ERVFRD-3,9,21929457,21931073
EXD3,9,137306896,137423211
EXOSC2,9,130693721,130707288
EXOSC3,9,37759234,37832117
FAM120A,9,93451685,93566112
FAM120A2P,9,93335374,93346152
FAM120AOS,9,93431441,93453581
FAM138C,9,34394,37280
FAM157B,9,138243620,138253217
FAM163B,9,133577081,133609389
FAM201A,9,38620474,38624990
FAM219A,9,34398184,34458570
FAM220BP,9,38527097,38527912
FAM221B,9,35816391,35828747
FAM225A,9,113111624,113119928
FAM225B,9,113095149,113111543
FAM240B,9,38694266,38720133
FAM242D,9,61615817,61627683
FAM242E,9,61890586,61911123
FAM242F,9,41657708,41699104
FAM27B,9,67725690,67725902
FAM27C,9,61854038,62096920
FAM27E3,9,67676480,67726979
FAM74A1,9,39370940,39380352
FAM74A3,9,66976520,66976991
FAM74A4,9,61205561,61206029
FAM74A6,9,60929927,60930407
FAM74A7,9,42199000,42204988
FAM78A,9,131258076,131277365
FAM88B,9,62897343,62954927
FAM88C,9,62288024,62376890
FAM88E,9,42467562,42569410
FAM88F,9,62532318,62632880
FAM95B1,9,40325468,40326446
FANCC,9,95099054,95426796
FANCG,9,35073835,35080004
FBP1,9,94603133,94640249
FBP2,9,94558720,94593824
FBP2P1,9,87810642,87837225
FBXO10,9,37510892,37576380
FBXW2,9,120751978,120793416
FBXW5,9,136940435,136944738
FCN1,9,134903232,134917912
FCN2,9,134880810,134887523
FGD3,9,92947523,93036236
FGF7P3,9,39817530,39818923
FGF7P5,9,42625436,42626813
FGF7P6,9,62432876,62434255
FGF7P8,9,62888535,62889921
FIBCD1,9,130902438,130939286
FIBCD1-AS1,9,130933804,130945527
FKBP15,9,113161006,113221458
FKBP4P6,9,42384805,42386136
FKTN,9,105558122,105653820
FKTN-AS1,9,105525206,105558306
FNBP1,9,129887187,130043189
FOCAD,9,20658309,20995955
FOCAD-AS1,9,20683299,20684803
FOXB2,9,77019655,77020953
FOXD4,9,116231,118417
FOXD4L3,9,68302867,68305084
FOXD4L4,9,65737146,65738396
FOXD4L5,9,65282101,65285209
FOXD4L6,9,41126435,41128681
FOXE1,9,97853226,97856717
FPGS,9,127794597,127814494
FREM1,9,14737152,14910995
FRG1HP,9,40992426,41218410
FRG1JP,9,63832127,63859641
FRG1KP,9,65646982,65652679
FRMD3,9,83242990,83538546
FRMD3-AS1,9,83219281,83270837
FRMPD1,9,37650954,37746904
FRRS1L,9,109130293,109167249
FSD1L,9,105447796,105552433
FTH1P12,9,15527133,15527683
FTLP4,9,30935485,30935977
FUBP3,9,130578965,130638352
FUT7,9,137030174,137032088
FXN,9,69035751,69079076
FXNP2,9,124968294,124968840
FYTTD1P1,9,101375344,101376603
GABBR2,9,98288109,98708935
GADD45G,9,89605012,89606555
GALNT12,9,98807670,98850081
GALT,9,34638133,34651035
GAPDHP26,9,100975668,100976682
GAPVD1,9,125261794,125367207
GARIN3P1,9,25937912,25938434
GARNL3,9,127224265,127393660
GAS1,9,86944362,86947506
GAS1RR,9,86948583,87013294
GAS2L1P1,9,38486859,38488338
GAS2L1P2,9,97076246,97077601
GBA2,9,35736866,35749228
GBGT1,9,133152948,133163933
GCNT1,9,76419850,76651203
GDA,9,72114595,72257193
GFI1B,9,132944000,132991687
GGTA1,9,121444991,121499844
GKAP1,9,83739425,83829516
GLDC,9,6532467,6645729
GLE1,9,128504655,128543874
GLIDR,9,39705825,39810128
GLIPR2,9,36136536,36163913
GLIS3,9,3824127,4348392
GLIS3-AS1,9,3898642,3901252
GLIS3-AS2,9,4299390,4306046
GLT6D1,9,135623648,135639540
GLULP4,9,34917175,34918296
GNA14,9,77423079,77648322
GNA14-AS1,9,77456295,77526697
GNAQ,9,77716097,78031811
GNE,9,36214441,36277042
GNG10,9,111661605,111670226
GOLGA1,9,124878275,124948492
GOLGA2,9,128255829,128276026
GOLM1,9,86026146,86100173
GPR107,9,130053426,130140169
GPR21,9,123033667,123035665
GPRACR,9,130140610,130144219
GPS2P1,9,2875442,2876427
GPSM1,9,136327476,136359605
GRHPR,9,37422666,37436990
GRIN1,9,137138346,137168756
GRIN3A,9,101569352,101738647
GSN,9,121207794,121332843
GSN-AS1,9,121280768,121285530
GTF3AP1,9,6195934,6197248
GTF3C4,9,132670035,132694953
GTF3C5,9,133030675,133058503
GXYLT1P3,9,40348599,40349791
GXYLT1P4,9,66026528,66027719
GXYLT1P6,9,64488600,64489786
H3P29,9,1011085,1011799
H3P30,9,21638285,21638676
H3P31,9,26880178,26880549
H3P32,9,76419934,76420631
HABP4,9,96450169,96491336
HACD4,9,20999509,21031640
HAUS6,9,19053141,19102904
HDHD3,9,113373419,113376986
HEMGN,9,97926791,97944856
HINT2,9,35812960,35815354
HMCN2,9,130265760,130434123
HMGA1P4,9,128663120,128684991
HMGB1P37,9,121519816,121520424
HMGB3P23,9,31644576,31645160
HMGB3P24,9,36303499,36304924
HMGN2P16,9,15588355,15588615
HMGN2P31,9,5311444,5311716
HMGN2P32,9,107458038,107458306
HNRNPA1P14,9,88410529,88411463
HNRNPA1P15,9,125595669,125596628
HNRNPA1P41,9,4944670,4945902
HNRNPK,9,83968083,83980631
HNRNPK-AS1,9,83956558,83975777
HRCT1,9,35906202,35907136
HSD17B3,9,96235306,96302176
HSD17B3-AS1,9,96246462,96257179
HSDL2,9,112380080,112472405
HSDL2-AS1,9,112399183,112487204
HSPA5,9,125234853,125241382
HSPA5-DT,9,125241637,125260975
HSPA8P17,9,30988085,30990572
HSPB1P1,9,72007881,72008136
HSPE1P22,9,92027498,92027824
HSPE1P28,9,112280978,112281335
IARS1,9,92210207,92293854
IDNK,9,83623049,83644130
IER5L,9,129175552,129178261
IER5L-AS1,9,129175807,129261581
IFNA1,9,21440439,21441316
IFNA10,9,21206181,21207143
IFNA13,9,21367372,21368057
IFNA14,9,21239002,21240005
IFNA17,9,21227243,21228222
IFNA2,9,21384255,21385398
IFNA20P,9,21321300,21321827
IFNA21,9,21165637,21166660
IFNA22P,9,21278050,21278619
IFNA4,9,21186618,21187587
IFNA5,9,21304326,21305313
IFNA6,9,21350253,21350956
IFNA7,9,21201469,21202205
IFNA8,9,21409117,21410185
IFNB1,9,21077104,21077942
IFNE,9,21480839,21482313
IFNK,9,27524290,27526498
IFNW1,9,21140632,21141832
IFNWP15,9,21178589,21179188
IFNWP18,9,21209189,21209779
IFNWP19,9,21455484,21456049
IFNWP2,9,21420234,21420813
IFNWP5,9,21231266,21231853
IFNWP9,9,21190654,21191244
IFT74,9,26947039,27066134
IFT74-AS1,9,26955771,26956701
IGFBPL1,9,38406528,38424454
IGHEP2,9,5113549,5114804
IGKV1OR-2,9,64765054,64765535
IGKV1OR-3,9,65770955,65771434
IGKV1OR9-1,9,65250543,65250826
IGKV1OR9-2,9,40641841,40642117
IL11RA,9,34652162,34661902
IL33,9,6215786,6257983
IL9RP1,9,138137095,138143864
IMP3P1,9,10829752,10830308
INIP,9,112683926,112718149
INPP5E,9,136428619,136439845
INSL4,9,5231419,5235304
INSL6,9,5123880,5185647
INVS,9,100099243,100302175
IPPK,9,92613183,92670131
ISCA1,9,86264546,86283102
IZUMO3,9,24542952,24545946
JAK2,9,4984390,5129948
JKAMPP1,9,12287320,12288238
KANK1,9,470291,746105
KCNT1,9,135702185,135795508
KCNV2,9,2717510,2730037
KCTD10P1,9,28598668,28599292
KCTD9P3,9,37477149,37478317
KDM4C,9,6720863,7175648
KHSRPP1,9,21695176,21696943
KIAA1958,9,112486827,112669397
KIF12,9,114086126,114099292
KIF24,9,34252380,34329268
KIF27,9,83834099,83921465
KLF4,9,107484852,107490482
KLF4P1,9,4803788,4804972
KLF9,9,70384604,70414657
KLHL9,9,21320024,21335404
KRT18P13,9,97698922,97700734
KRT18P24,9,79036413,79037568
KRT18P36,9,30799471,30800746
KRT18P66,9,30773464,30774732
KRT18P67,9,122837557,122838820
KRT8P11,9,99305176,99306611
KYAT1,9,128832942,128882494
LAGE3P1,9,33019682,33020165
LAMC3,9,131009174,131094473
LCN1,9,135521438,135526540
LCN10,9,136738167,136743356
LCN12,9,136949551,136955497
LCN15,9,136759634,136766255
LCN2,9,128149071,128153453
LCN6,9,136744017,136748525
LCN8,9,136754386,136758543
LCN9,9,135663309,135666961
LCNL1,9,136981904,136986410
LDHAP4,9,14921337,14922334
LERFS,9,62856996,62898904
LHX2,9,124001670,124033301
LHX2-AS1,9,124006277,124009541
LHX3,9,136196250,136205128
LHX6,9,122202577,122229626
LINC00092,9,96019724,96028033
LINC00474,9,115839214,115925720
LINC00475,9,92141438,92141650
LINC00484,9,91118361,91183601
LINC00583,9,13927971,13945610
LINC00587,9,102519636,102657514
LINC00963,9,129476946,129513769
LINC01189,9,62289656,62538917
LINC01230,9,1045271,1048641
LINC01231,9,3181342,3200503
LINC01235,9,13406323,13488125
LINC01239,9,22640681,22824213
LINC01241,9,25780032,25844585
LINC01242,9,30388935,30575012
LINC01243,9,31371611,31381490
LINC01388,9,100804,113798
LINC01400,9,37073531,37080276
LINC01410,9,62801434,62890983
LINC01451,9,136612019,136625416
LINC01474,9,72863466,72874178
LINC01492,9,103140523,103325050
LINC01501,9,90462422,90583836
LINC01502,9,135574935,135587112
LINC01503,9,129320968,129359549
LINC01504,9,72305219,72364194
LINC01505,9,105993247,106771335
LINC01506,9,68509620,68634901
LINC01507,9,79975023,80182668
LINC01508,9,90300885,90433684
LINC01509,9,107420191,107466614
LINC01613,9,119934763,119937832
LINC01627,9,37383178,37384434
LINC02247,9,134293878,134295710
LINC02603,9,94176494,94259545
LINC02692,9,136969243,136972890
LINC02834,9,86669249,86708334
LINC02843,9,88627063,88652180
LINC02846,9,136107764,136110340
LINC02872,9,87148404,87159556
LINC02893,9,87008440,87042419
LINC02907,9,135343249,135346562
LINC02908,9,137027464,137037957
LINC02937,9,90927338,91213102
LINC02957,9,90996906,91001901
LINC02975,9,129282426,129347468
LINC02977,9,112028547,112039143
LINC03025,9,41100793,41125588
LINC03026,9,88065325,88113490
LINC03041,9,16203935,16410990
LINC03062,9,89639688,89821498
LINC03094,9,103999332,104085929
LINC03106,9,26066675,26118408
LINGO2,9,27937617,29213601
LMX1B,9,126613928,126701032
LMX1B-DT,9,126589327,126613761
LNCARSR,9,79505801,79571041
LPAR1,9,110873263,111038470
LRRC19,9,26993136,27005672
LRRC26,9,137168758,137170051
LRRC37A5P,9,111609014,111609598
LRRC8A,9,128882133,128918039
LRSAM1,9,127451489,127503499
LSM1P1,9,16775573,16775845
LURAP1L,9,12775020,12823060
LURAP1L-AS1,9,12631434,12814382
MAMDC4,9,136850943,136860799
MAN1B1,9,137086857,137109189
MAN1B1-DT,9,137084946,137086817
MAP1LC3BP1,9,19460926,19461304
MAPKAP1,9,125437393,125707234
ME2P1,9,29824742,29826711
MED27,9,131852928,132079867
MEGF9,9,120600811,120714470
MELK,9,36572862,36677683
MEP1AP1,9,40187792,40193921
MEP1AP4,9,42817105,42823213
MFSD14B,9,94374569,94461042
MFSD14CP,9,96949555,97013366
MIGA2,9,129036621,129072082
MIR101-2,9,4850297,4850375
MIR1299,9,40929010,40929092
MIR1302-8,9,97363554,97363681
MIR1302-9,9,30144,30281
MIR1302-9HG,9,27657,30893
MIR181A2,9,124692442,124692551
MIR181A2HG,9,124658400,124698635
MIR181B2,9,124693710,124693798
MIR219A2,9,128392618,128392714
MIR219A2HG,9,128392007,128393510
MIR2278,9,94809962,94810057
MIR23B,9,95085208,95085304
MIR27B,9,95085445,95085541
MIR31,9,21512115,21512185
MIR3153,9,89312225,89312306
MIR31HG,9,21364605,21591906
MIR32,9,109046229,109046298
MIR3651,9,92292458,92292547
MIR3911,9,127690687,127690795
MIR4290HG,9,90020654,90041499
MIR4292,9,136830957,136831023
MIR4474,9,20502265,20502342
MIR4477A,9,41233755,41233835
MIR4477B,9,63819574,63819654
MIR4540,9,36864254,36864308
MIR4668,9,111932100,111932169
MIR491,9,20716105,20716188
MIR600HG,9,123109494,123115477
MIR601,9,123402525,123402603
MIR602,9,137838419,137838516
MIR6851,9,33467869,33467935
MIR6877,9,133051996,133052059
MIR7-1,9,83969748,83969857
MIR7150,9,123485529,123485622
MIR8081,9,106600928,106601022
MIR876,9,28863626,28863706
MIRLET7A1,9,94175957,94176036
MIRLET7A1HG,9,94166258,94200905
MIRLET7D,9,94178834,94178920
MIRLET7F1,9,94176347,94176433
MLANA,9,5890889,5910606
MLLT3,9,20341669,20622499
MOB3B,9,27325209,27529814
MORN5,9,122159908,122200088
MPDZ,9,13105706,13279692
MRPL41,9,137551879,137552555
MRPL50,9,101387633,101398618
MRPS2,9,135499984,135504673
MRRF,9,122264603,122331337
MSANTD3,9,100427143,100451734
MSANTD3-TMEFF1,9,100442271,100577636
MSMP,9,35752990,35756613
MT1P1,9,95413267,95413449
MTAP,9,21802636,21937651
MTATP6P11,9,5099560,5100229
MTATP6P29,9,92108858,92108989
MTATP6P30,9,31505280,31505943
MTCO1P11,9,5096666,5098193
MTCO1P51,9,80563571,80564630
MTCO2P11,9,5098341,5099325
MTCO3P11,9,5100236,5101009
MTCO3P29,9,92109013,92110095
MTCO3P30,9,31505946,31506615
MTCO3P40,9,82427350,82428025
MTND1P11,9,5094139,5095014
MTND2P11,9,109300186,109301172
MTND2P8,9,78741720,78742744
MTND2P9,9,80565032,80565962
MTND3P23,9,92110168,92110514
MTND3P4,9,101793454,101793756
MTND4LP7,9,92110575,92110868
MTND4P14,9,5107937,5109290
MTND4P15,9,92110865,92111897
MTND5P14,9,5109496,5110762
MTND6P5,9,5091093,5091604
MUPP,9,112959134,112962261
MUSK,9,110668779,110806558
MVB12B,9,126326829,126507041
MYMK,9,133514586,133528612
MYO5BP1,9,41292887,41294125
MYO5BP2,9,62857208,62858484
MYO5BP3,9,63761546,63762824
MYORG,9,34366666,34376898
NAA35,9,85941146,86025462
NACC2,9,136006537,136095289
NAIF1,9,128061233,128068206
NALT1,9,136546162,136552541
NAMA,9,99355337,99906624
NANOGP5,9,100175178,100176054
NANS,9,98056732,98083077
NCBP1,9,97633668,97673748
NCLP1,9,136812788,136815536
NCS1,9,130172404,130237303
NDOR1,9,137205685,137219361
NDUFA5P3,9,19383217,19383887
NDUFA5P4,9,35874810,35875194
NDUFA8,9,122144058,122159779
NDUFB6,9,32553001,32573184
NEK6,9,124257606,124353307
NELFB,9,137255327,137273542
NFIB,9,14081843,14398983
NFIB-AS1,9,14317073,14495250
NFIL3,9,91408748,91424626
NFX1,9,33290512,33371157
NFYCP2,9,87084161,87085151
NIBAN2,9,127505339,127578989
NINJ1,9,93121496,93134251
NIPSNAP3A,9,104747683,104760120
NIPSNAP3B,9,104764129,104777764
NMRK1,9,75060573,75088217
NOL6,9,33461353,33473930
NOL8,9,92297358,92325636
NOP56P2,9,23681894,23682662
NOTCH1,9,136494433,136546048
NOXA1,9,137423350,137434406
NPAP1P4,9,80357029,80360338
NPAP1P9,9,87858103,87859599
NPDC1,9,137039463,137046179
NPR2,9,35791003,35809732
NR4A3,9,99821855,99866891
NR5A1,9,124481236,124507420
NR6A1,9,124517275,124771311
NRARP,9,137299631,137302271
NRON,9,126408041,126408410
NSA2P7,9,96407284,96407797
NSMF,9,137447570,137459334
NTMT1,9,129608884,129636135
NTNG2,9,132162058,132244526
NTRK2,9,84668375,85095751
NUDT2,9,34329506,34343713
NUP188,9,128947699,129007096
NUP214,9,131125573,131234663
NUTF2P3,9,77580245,77580628
NUTM2F,9,94318198,94328644
NUTM2G,9,96928310,96940253
OBP2A,9,135546126,135549969
ODF2,9,128455186,128501292
ODF2-AS1,9,128468925,128473115
OGN,9,92383268,92404696
OLFM1,9,135075422,135121180
OLFML2A,9,124777133,124814885
OMD,9,92412380,92424471
OR13C1P,9,104656754,104657716
OR13C2,9,104604671,104605627
OR13C3,9,104535749,104536856
OR13C4,9,104526253,104527209
OR13C5,9,104598457,104599413
OR13C6P,9,35991336,35992285
OR13C7,9,36002909,36003867
OR13C8,9,104569168,104570130
OR13C9,9,104617248,104618204
OR13D1,9,104694518,104695462
OR13D3P,9,104722335,104723271
OR13F1,9,104504263,104505222
OR13I1P,9,104629754,104631017
OR13J1,9,35869463,35870401
OR1B1,9,122628125,122657627
OR1H1P,9,122607864,122608800
OR1J1,9,122476958,122477926
OR1J2,9,122510802,122511743
OR1J4,9,122519141,122520082
OR1K1,9,122800123,122801073
OR1L1,9,122661566,122662648
OR1L3,9,122675130,122676104
OR1L4,9,122723990,122724925
OR1L6,9,122742303,122750783
OR1L8,9,122567117,122583384
OR1N1,9,122526358,122527293
OR1N2,9,122553112,122554214
OR1Q1,9,122614738,122615682
OR2AM1P,9,36021692,36022113
OR2K2,9,111327229,111330224
OR2S1P,9,36013184,36014133
OR2S2,9,35957108,35958154
OR5C1,9,122788933,122789895
OR7E108P,9,90751240,90752230
OR7E109P,9,90742526,90743380
OR7E116P,9,90232185,90233141
OR7E31P,9,90216039,90216924
ORM1,9,114323098,114326479
ORM2,9,114329869,114333251
OSTCP8,9,33968071,33968518
OSTF1,9,75088514,75147265
PA2G4P6,9,89449558,89450754
PABIR1,9,68780065,68785566
PABPC1P11,9,17589161,17591318
PAEP,9,135561756,135566955
PAEPP1,9,135588002,135591975
PAICSP1,9,37878116,37879493
PAICSP2,9,91611343,91612492
PALM2AKAP2,9,109498325,110172512
PAPPA,9,116153791,116402321
PAPPA-AS1,9,116398157,116400606
PAPPA-AS2,9,116285829,116288769
PARK7P2,9,95918136,95918704
PAX5,9,36833269,37034268
PAXX,9,136992422,136993984
PBX3,9,125747345,125967377
PBX3-DT,9,125738832,125746552
PCA3,9,76691980,76863307
PCAT7,9,94554599,94603990
PCSK5,9,75890644,76362975
PDCD1LG2,9,5510531,5571282
PDCL,9,122798389,122828588
PDSS1P1,9,5084999,5086112
PES1P2,9,13986175,13987909
PGAM1P2,9,35943210,35943934
PGAP4,9,101473170,101533537
PGM5,9,68328308,68531061
PGM5-AS1,9,68343539,68358022
PGM5P2,9,41039611,41074448
PGM5P3-AS1,9,72562,90820
PHB1P7,9,85898903,85899716
PHF19,9,120855651,120894896
PHF2,9,93576584,93679587
PHF24,9,34957608,34982544
PHPT1,9,136848724,136851027
PHYHD1,9,128920966,128942041
PIERCE1,9,135495181,135501734
PIGFP2,9,123843036,123843686
PIGO,9,35085493,35096619
PIGO-AS1,9,35096313,35098141
PIGUP1,9,70916997,70917501
PIP5K1B,9,68705240,69009176
PIP5KL1,9,127920881,127930785
PKN3,9,128702503,128720916
PLAA,9,26903372,26947242
PLGRKT,9,5357971,5437925
PLIN2,9,19108375,19149290
PLPP6,9,4662294,4665258
PLPP7,9,131289459,131359022
PLPPR1,9,101028727,101325135
PMPCA,9,136410630,136427992
PNPLA7,9,137459952,137550402
POLE3,9,113407235,113410675
POLR1E,9,37485948,37503697
POMT1,9,131502789,131523806
PPIAP33,9,7597823,7598377
PPIAP87,9,76549282,76549771
PPIAP88,9,107543151,107543616
PPP1R26,9,135479079,135488893
PPP1R26-AS1,9,135417086,135480777
PPP3R2,9,101591604,101595021
PPP6C,9,125146573,125189939
PRDM12,9,130664594,130682986
PRDX1P1,9,12972843,12973438
PRELID3BP11,9,6734598,6735076
PRKACG,9,69012504,69014113
PRPF4,9,113275642,113294009
PRPS1P2,9,125150653,125151589
PRRC2B,9,131373636,131500197
PRRT1B,9,131545523,131559815
PRRX2,9,129665647,129722674
PRRX2-AS1,9,129712891,129718747
PRSS3,9,33750679,33799231
PRSS3P4,9,33613848,33614009
PRUNE2,9,76611376,76906114
PRXL2C,9,96639577,96655317
PSAT1,9,78297125,78330093
PSIP1,9,15464066,15510995
PSIP1P1,9,15055057,15056052
PSMB7,9,124353465,124415444
PSMD5,9,120815496,120842951
PTAR1,9,69709522,69760011
PTBP3,9,112217716,112333664
PTCH1,9,95442980,95517057
PTCSC2,9,97699625,97853116
PTENP1,9,33675437,33676651
PTENP1-AS,9,33676785,33688011
PTGDS,9,136975092,136981742
PTGER4P2,9,62843919,62844170
PTGES,9,129738331,129753042
PTGES2,9,128120693,128128462
PTGES2-AS1,9,128128529,128130628
PTGR1,9,111549722,111599893
PTGS1,9,122370530,122395703
PTMAP11,9,96910076,96910405
PTMAP12,9,94347234,94347563
PTPA,9,129110950,129148946
PTPDC1,9,94030794,94109856
PTPN3,9,109375466,109498313
PTPRD,9,8314246,10613002
PTPRD-AS1,9,8857982,8864772
PTPRD-DT,9,10613202,10622252
PTRH1,9,127690348,127724873
PUM3,9,2720469,2844095
QNG1,9,83938311,83956986
QRFP,9,130892707,130896812
QSOX2,9,136206333,136245812
RAB14,9,121178133,121223014
RAB1C,9,37636688,37637293
RAB28P2,9,62606797,62607748
RAB28P3,9,42492663,42493570
RABEPK,9,125200542,125234161
RABGAP1,9,122940833,123104866
RABL6,9,136807943,136841187
RAD23B,9,107283137,107332192
RALGAPA1P1,9,105520128,105526359
RALGDS,9,133097720,133149334
RALGPS1,9,126914774,127223166
RANBP6,9,6011025,6015625
RAP1BP1,9,18717974,18718526
RAPGEF1,9,131576770,131740076
RASEF,9,82979590,83063177
RBM17P1,9,39154075,39155479
RBM17P2,9,67211663,67213067
RBM17P3,9,41974362,41975768
RBM18,9,122237622,122264840
RBM22P5,9,76286494,76288081
RBMXP2,9,30689105,30690272
RBPJP5,9,39739747,39741193
RBPJP6,9,42497704,42499134
RC3H2,9,122844556,122905359
RCL1,9,4792944,4885917
RECK,9,36036913,36124455
REXO6P,9,27245680,27278503
RFC5P1,9,77072100,77073295
RFK,9,76385526,76394517
RFX3,9,3218297,3526004
RFX3-DT,9,3526038,3695614
RGP1,9,35749287,35758585
RGS3,9,113444731,113597743
RIC1,9,5629025,5776557
RIGI,9,32455302,32526348
RLN1,9,5334930,5339876
RLN2,9,5299864,5304716
RMI1,9,83980798,84004074
RMRP,9,35657754,35658017
RN7SKP114,9,34049966,34050244
RN7SKP120,9,25088811,25089151
RN7SKP128,9,117197118,117197420
RN7SKP171,9,37661747,37662049
RN7SKP191,9,105096756,105097061
RN7SKP225,9,99284022,99284373
RN7SKP24,9,34478622,34478905
RN7SKP258,9,18651147,18651450
RN7SKP264,9,86258358,86258646
RN7SKP47,9,74799895,74800222
RN7SKP59,9,78165465,78165778
RN7SKP77,9,106679977,106680329
RN7SL100P,9,26895678,26895970
RN7SL123P,9,6661651,6661942
RN7SL151P,9,21699314,21699596
RN7SL159P,9,129370170,129370461
RN7SL181P,9,121203159,121203435
RN7SL187P,9,121494519,121494821
RN7SL22P,9,35671776,35672044
RN7SL25P,9,6542094,6542353
RN7SL302P,9,124607159,124607458
RN7SL30P,9,125512902,125513207
RN7SL328P,9,131725168,131725467
RN7SL338P,9,35049271,35049563
RN7SL343P,9,42011350,42011610
RN7SL422P,9,67175775,67176035
RN7SL430P,9,112272596,112272837
RN7SL544P,9,62363581,62363864
RN7SL560P,9,128709780,128710043
RN7SL565P,9,41578903,41579186
RN7SL570P,9,69884363,69884654
RN7SL57P,9,112242550,112242839
RN7SL592P,9,2228961,2229241
RN7SL5P,9,9442060,9442380
RN7SL640P,9,39191100,39191360
RN7SL659P,9,107811616,107811914
RN7SL665P,9,130400266,130400565
RN7SL720P,9,17053901,17054204
RN7SL722P,9,61789143,61789426
RN7SL726P,9,70579163,70579461
RN7SL75P,9,100102559,100102839
RN7SL763P,9,39886861,39887144
RN7SL787P,9,67791499,67791782
RN7SL794P,9,99185587,99185866
RN7SL849P,9,12764761,12765055
RN7SL98P,9,15525782,15526081
RNA5SP280,9,27198287,27198401
RNA5SP281,9,32293558,32293692
RNA5SP282,9,34206134,34206241
RNA5SP283,9,62802320,62802438
RNA5SP287,9,81885496,81885598
RNA5SP288,9,95142449,95142541
RNA5SP289,9,95905005,95905141
RNA5SP290,9,99145840,99145966
RNA5SP292,9,106843749,106843866
RNA5SP294,9,111411644,111411742
RNA5SP295,9,112252258,112252378
RNA5SP296,9,127841112,127841222
RNA5SP530,9,41237440,41237557
RNF183,9,113297093,113303376
RNF20,9,101533853,101563344
RNF208,9,137220247,137222240
RNF224,9,137227502,137229640
RNF2P1,9,6668999,6670008
RNF38,9,36336396,36487548
RNU2-25P,9,2162763,2162953
RNU2-36P,9,86422938,86423128
RNU2-46P,9,95859904,95860016
RNU2-47P,9,12300266,12300451
RNU2-50P,9,34282528,34282670
RNU2-5P,9,70188571,70188750
RNU4-15P,9,83596444,83596584
RNU4-26P,9,20418321,20418427
RNU4-53P,9,36267783,36267922
RNU4-82P,9,124887410,124887549
RNU4ATAC11P,9,33868540,33868665
RNU4ATAC15P,9,33174170,33174295
RNU5D-2P,9,132421641,132421690
RNU6-1013P,9,111839828,111839934
RNU6-1020P,9,125303920,125304026
RNU6-1035P,9,81725243,81725349
RNU6-1039P,9,110369592,110369698
RNU6-1064P,9,107797744,107797847
RNU6-1082P,9,117707996,117708102
RNU6-1160P,9,96256216,96256319
RNU6-1193P,9,64380194,64380300
RNU6-1228P,9,75198071,75198177
RNU6-1260P,9,14850429,14850535
RNU6-1269P,9,40233923,40234029
RNU6-1293P,9,64880369,64880475
RNU6-1327P,9,558826,558930
RNU6-14P,9,15776181,15776286
RNU6-156P,9,40759600,40759706
RNU6-246P,9,15544188,15544294
RNU6-264P,9,19073843,19073946
RNU6-319P,9,15431899,15432006
RNU6-329P,9,102256604,102256710
RNU6-368P,9,67869947,67870053
RNU6-432P,9,110903337,110903445
RNU6-492P,9,107475036,107475139
RNU6-538P,9,66142221,66142327
RNU6-599P,9,42863200,42863306
RNU6-669P,9,94507738,94507844
RNU6-677P,9,37333857,37333957
RNU6-694P,9,4386410,4386556
RNU6-714P,9,92820977,92821079
RNU6-785P,9,138259595,138259698
RNU6-829P,9,93375556,93375667
RNU6-855P,9,112137797,112137900
RNU6-86P,9,87998229,87998335
RNU6-881P,9,131126990,131127091
RNU6-918P,9,98032230,98032335
RNU6-984P,9,109196201,109196309
RNU6-996P,9,107663140,107663246
RNU6ATAC,9,134164439,134164564
RNU7-124P,9,37936707,37936768
RNU7-171P,9,128543916,128543977
RNU7-185P,9,8797135,8797194
RNY1P15,9,122945988,122946094
RNY4P18,9,111097325,111097413
ROR2,9,91563091,91950228
RORB,9,74497335,74693177
RORB-AS1,9,74123425,74499127
RPL10P3,9,117180628,117181095
RPL12,9,127447674,127451406
RPL12P25,9,477856,478349
RPL21P82,9,92006062,92006544
RPL21P83,9,37490421,37490893
RPL21P84,9,78180214,78180693
RPL21P85,9,88484852,88485325
RPL21P86,9,92676943,92677407
RPL21P87,9,110024881,110025358
RPL23AP57,9,6639139,6639604
RPL24P8,9,70217195,70217668
RPL29P20,9,112173522,112173971
RPL31P42,9,17108304,17108604
RPL31P43,9,108040213,108040592
RPL32P21,9,37046835,37047237
RPL32P22,9,112362714,112363116
